# Caravan release-parser corpus.
#
# PLAN.md standing rule: this corpus only ever grows. Every parser bug found in
# any phase adds an entry here BEFORE the fix lands.
#
# Format, one case per line:
#
#   <release name> | key=value; key=value; ...
#
# Blank lines and lines starting with '#' are ignored. The name and the
# expectation are separated by " | " (space pipe space).
#
# Keys: title, year, season, episodes (comma separated), quality, source,
# codec, audio, bitdepth, group, proper, repack, edition, container, minconf,
# maxconf.
Mr.Robot.S01E01.1080p.WEB-DL.DD5.1.H.264-NTb | title=Mr Robot; season=1; episodes=1; quality=1080p; source=webdl; codec=h264; audio=AC3; group=NTb; minconf=0.95
Marvels.Agents.of.S.H.I.E.L.D.S07E13.1080p.WEB.h264-GGWP | title=Marvels Agents of SHIELD; season=7; episodes=13; quality=1080p; source=webdl; codec=h264; group=GGWP; minconf=0.9
S.W.A.T.2017.S01E01.720p.HDTV.x264-KILLERS[eztv] | title=SWAT; year=2017; season=1; episodes=1; quality=720p; source=hdtv; codec=x264; group=KILLERS; minconf=0.9
Ted.Lasso.S03E12.1080p.ATVP.WEB-DL.DDP5.1.H.264-NTb | title=Ted Lasso; season=3; episodes=12; quality=1080p; source=webdl; codec=h264; audio=EAC3; group=NTb; minconf=0.95
The.Simpsons.S34E01.720p.WEB.h264-KOGi | title=The Simpsons; season=34; episodes=1; quality=720p; source=webdl; codec=h264; group=KOGi; minconf=0.9
Loki.S01E01.Glorious.Purpose.2160p.DSNP.WEB-DL.DDP5.1.Atmos.HDR.HEVC-CasStudio | title=Loki; season=1; episodes=1; quality=2160p; source=webdl; codec=hevc; audio=Atmos; group=CasStudio; minconf=0.95
Yellowstone.2018.S05E08.1080p.WEB.h264-GGEZ | title=Yellowstone; year=2018; season=5; episodes=8; quality=1080p; source=webdl; codec=h264; group=GGEZ; minconf=0.9
Foundation.S01E01.720p.WEB.H264-GGWP | title=Foundation; season=1; episodes=1; quality=720p; source=webdl; codec=h264; group=GGWP; minconf=0.9
Cosmos.A.Spacetime.Odyssey.S01E01.1080p.BluRay.x265-RARBG | title=Cosmos A Spacetime Odyssey; season=1; episodes=1; quality=1080p; source=bluray; codec=x265; group=RARBG; minconf=0.9
The.Grand.Tour.S04E01.Seamen.2160p.AMZN.WEB-DL.DDP5.1.HDR.HEVC-NTb | title=The Grand Tour; season=4; episodes=1; quality=2160p; source=webdl; codec=hevc; audio=EAC3; group=NTb; minconf=0.95
Some.Old.Show.S02E05.480p.DVDRip.XviD-GROUP | title=Some Old Show; season=2; episodes=5; quality=480p; source=dvd; codec=xvid; group=GROUP; minconf=0.9
Friends.1x05.The.One.With.the.East.German.Laundry.Detergent.DVDRip.XviD-SAiNTS | title=Friends; season=1; episodes=5; quality=480p; source=dvd; codec=xvid; group=SAiNTS; minconf=0.9
Show_Name_S01E01_1080p_WEB-DL_x264-GROUP | title=Show Name; season=1; episodes=1; quality=1080p; source=webdl; codec=x264; group=GROUP; minconf=0.9

# --------------------------------------------------------- multi-episode ----
Stargate.SG-1.S01E01E02.Children.of.the.Gods.720p.BluRay.x264-SiNNERS | title=Stargate SG-1; season=1; episodes=1,2; quality=720p; source=bluray; codec=x264; group=SiNNERS; minconf=0.9
Star.Trek.Deep.Space.Nine.S01E01E02.Emissary.480p.DVDRip.x264-GROUP | title=Star Trek Deep Space Nine; season=1; episodes=1,2; quality=480p; source=dvd; codec=x264; group=GROUP; minconf=0.9
Firefly.S01E01-E03.1080p.BluRay.x264-GROUP | title=Firefly; season=1; episodes=1,2,3; quality=1080p; source=bluray; codec=x264; group=GROUP; minconf=0.9
The.Bear.S02E01-E05.1080p.HULU.WEB-DL.DDP5.1.H.264-NTb | title=The Bear; season=2; episodes=1,2,3,4,5; quality=1080p; source=webdl; codec=h264; audio=EAC3; group=NTb; minconf=0.95
Some.Show.S03E07E08E09.1080p.WEB-DL.x264-GROUP | title=Some Show; season=3; episodes=7,8,9; quality=1080p; source=webdl; codec=x264; group=GROUP; minconf=0.9

# ----------------------------------------------------------- season packs ----
The.Wire.S04.COMPLETE.1080p.BluRay.x264-GROUP | title=The Wire; season=4; quality=1080p; source=bluray; codec=x264; group=GROUP; minconf=0.8; maxconf=0.9
Severance.Season.1.2160p.ATVP.WEB-DL.DDP5.1.Atmos.DV.HEVC-CMRG | title=Severance; season=1; quality=2160p; source=webdl; codec=hevc; audio=Atmos; group=CMRG; minconf=0.9
Its.Always.Sunny.in.Philadelphia.S15.COMPLETE.1080p.HULU.WEB-DL.AAC2.0.H.264-playWEB | title=Its Always Sunny in Philadelphia; season=15; quality=1080p; source=webdl; codec=h264; audio=AAC; group=playWEB; minconf=0.9
The.Sopranos.Season.6.Part.2.1080p.BluRay.x264-SHORTBREHD | title=The Sopranos; season=6; quality=1080p; source=bluray; codec=x264; group=SHORTBREHD; minconf=0.8; maxconf=0.9
# Multi-season packs are out of scope (SPEC §16): degrade to the first season.
The.Office.S01-S09.COMPLETE.1080p.BluRay.x265-GROUP | title=The Office; season=1; quality=1080p; source=bluray; codec=x265; group=GROUP; minconf=0.8; maxconf=0.9

# ------------------------------------------- unsupported shapes (degrade) ----
# Anime absolute numbering is explicitly out of scope (SPEC §16). These must
# come back low-confidence and intact, never as a wrong episode number.
[SubsPlease] Frieren - 12 (1080p) [F0E9D2A1].mkv | title=Frieren - 12; quality=1080p; group=SubsPlease; container=mkv; minconf=0.4; maxconf=0.5
[Erai-raws] Kimetsu no Yaiba - 05 [1080p][Multiple Subtitle].mkv | title=Kimetsu no Yaiba - 05; quality=1080p; group=Erai-raws; container=mkv; minconf=0.4; maxconf=0.5
[HorribleSubs] Show Name - 01 [720p].mkv | title=Show Name - 01; quality=720p; group=HorribleSubs; container=mkv; minconf=0.4; maxconf=0.5
[Group] Another Anime S02 - 07 [1080p][HEVC][10bit].mkv | title=Another Anime; season=2; quality=1080p; codec=hevc; bitdepth=10; group=Group; container=mkv; minconf=0.7; maxconf=0.8
# Daily-dated episodes are out of scope too: the date reads as a year.
The.Daily.Show.2024.01.15.Guest.Name.1080p.WEB.h264-GROUP | title=The Daily Show; year=2024; quality=1080p; source=webdl; codec=h264; group=GROUP; minconf=0.9

# ----------------------------------------------------------- bit depth ------
# SPEC §8: the TV profile check needs to tell 10-bit video from 8-bit, because
# a Main10 stream is exactly what an older set refuses to decode.
Some.Movie.2021.2160p.WEB-DL.HEVC.10bit.DDP5.1-GRP | title=Some Movie; year=2021; quality=2160p; source=webdl; codec=hevc; audio=EAC3; bitdepth=10; group=GRP; minconf=1
Another.Movie.2019.1080p.BluRay.x264.8bit.AAC-GRP | title=Another Movie; year=2019; quality=1080p; source=bluray; codec=x264; audio=AAC; bitdepth=8; group=GRP; minconf=1
# Hi10P is the anime spelling of the same claim, and it has to be cut out of
# the title like every other technical tag.
[Anime-Group] Cool Show - 03 [Hi10P][720p][x264].mkv | title=Cool Show - 03; quality=720p; codec=x264; bitdepth=10; group=Anime-Group; container=mkv; minconf=0.5; maxconf=0.6

# ------------------------------------------------------------- garbage in ----
asdkjhaskdjhasd | title=asdkjhaskdjhasd; maxconf=0.15
Movie.Title | title=Movie Title; maxconf=0.15
12345 | title=12345; maxconf=0.15
!!! | title=!!!; maxconf=0.05
..... | maxconf=0.05
